Number,Condition
AUT0003178,short_descriptionSTARTSWITHTest^EQ
AUT0003177,short_descriptionSTARTSWITHAdv checks Krishna ad^EQ
AUT0003171,short_descriptionSTARTSWITHAutomation case resolution notes^EQ
AUT0003154,short_descriptionSTARTSWITHCommitID parameter test Standdard UI^EQ
AUT0003142,short_descriptionSTARTSWITHCommitID parameter Standard^EQ
AUT0003122,short_descriptionSTARTSWITHHarshad test^EQ
AUT0003107,short_descriptionSTARTSWITHResolution notes for advance^EQ
AUT0003106,short_descriptionSTARTSWITHAdvance Incident scanerios check^EQ
AUT0003105,short_descriptionSTARTSWITHAdvance SR scanerios check^EQ
AUT0003098,short_descriptionSTARTSWITHAdvance for resolution notes^EQ
AUT0003087,short_descriptionSTARTSWITHCustomer agent flow test^EQ
AUT0003073,short_descriptionSTARTSWITHTest^EQ
AUT0003072,short_descriptionLIKESkipTesting^EQ
AUT0003069,short_descriptionSTARTSWITH[Auto-implementation]^EQ
AUT0003052,short_descriptionSTARTSWITHtest435266^EQ
AUT0003051,short_descriptionSTARTSWITHCommitID parameter test^EQ
AUT0003050,short_descriptionSTARTSWITHtest34532^EQ
AUT0003049,short_descriptionSTARTSWITHtest142^EQ
AUT0002995,short_descriptionLIKEHigh rate of dropped packets^assignment_group=d3aa6b8b1b5fa4d0bdcb42a7b04bcb3c^EQ
AUT0002992,short_descriptionLIKEHigh rate of dropped packets^assignment_group=1faa6b8b1b5fa4d0bdcb42a7b04bcb3a^EQ
AUT0002988,short_descriptionLIKECPU saturation^assignment_group=75aa278b1b5fa4d0bdcb42a7b04bcb06^EQ
AUT0002983,descriptionLIKEAR-ESBMHSautoload^cmdb_ci=792e885adb9f68104af661bbd3961941^EQ
AUT0002982,descriptionLIKEAR-ESBautoload^cmdb_ci=792e885adb9f68104af661bbd3961941^EQ
AUT0002976,short_descriptionLIKEAbort : Invoking trap^EQ
AUT0002973,short_descriptionLIKEMonitorIT^short_descriptionLIKEis not reachable^assignment_group=deaa678b1b5fa4d0bdcb42a7b04bcbaa^ORassignment_group=3eaaa78b1b5fa4d0bdcb42a7b04bcbf6^cmdb_ciLIKEAPP07638^EQ
AUT0002963,short_descriptionLIKEHigh rate of dropped packets^assignment_group=75aa278b1b5fa4d0bdcb42a7b04bcb06^EQ
AUT0002959,assignment_group=1baa6b8b1b5fa4d0bdcb42a7b04bcb69^short_descriptionLIKEDynatrace: Process unavailable^short_descriptionLIKEcq-quickstart-*-standalone-quickstart.jar^ORshort_descriptionLIKEis not available - Raise a P2 record to UKGRBRAND^EQ
AUT0002955,short_descriptionLIKEproductinventorymanagementgetproduct^ORdescriptionLIKEproductinventorymanagementgetproduct^assignment_group=dff0e0a61bbac9d8ddcc42ead34bcbcc^EQ
AUT0002954,short_descriptionLIKEJourneyNeedsManagement^ORdescriptionLIKEJourneyNeedsManagement^assignment_group=dff0e0a61bbac9d8ddcc42ead34bcbcc^EQ
AUT0002953,short_descriptionLIKEAGREEMENT_MANAGEMENT_CREATE_SESSION^ORdescriptionLIKEAGREEMENT_MANAGEMENT_CREATE_SESSION^assignment_group=dff0e0a61bbac9d8ddcc42ead34bcbcc^EQ
AUT0002951,short_descriptionSTARTSWITHMonitorIT :^short_descriptionLIKECapacity threshold breached in Datapower^assignment_group=84baeb8b1b5fa4d0bdcb42a7b04bcbcc^EQ
AUT0002949,assignment_group=71aae38b1b5fa4d0bdcb42a7b04bcb43^short_descriptionLIKEFile Generation delay^short_descriptionSTARTSWITHSRE | Test^EQ
AUT0002943,short_descriptionLIKENetflix^ORshort_descriptionLIKEnetflix^ORshort_descriptionLIKENETFLIX^business_serviceLIKEAPP04910-PROD-Directory and Profile^assignment_group=0baa2b8b1b5fa4d0bdcb42a7b04bcb5c^short_descriptionNOT LIKEactivate^EQ
AUT0002942,short_descriptionSTARTSWITHDynatrace: Process unavailable^short_descriptionLIKEKafka^business_service=7163de7cdb1f6410609eae3bd39619e6^EQ
AUT0002934,assignment_group=1aaa678b1b5fa4d0bdcb42a7b04bcba9^short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEis not reachable^cmdb_ciLIKEAPP12639^EQ
AUT0002932,assignment_group=209c9b411b9111548e7440c3b24bcb25^short_descriptionLIKEvar_mount_point^EQ
AUT0002930,business_service=ea6352bcdb1f6410609eae3bd3961923^ORbusiness_service=266352bcdb1f6410609eae3bd3961924^short_descriptionLIKECOTPLUS : SETI Issue^EQ
AUT0002929,short_descriptionSTARTSWITHNo VAS Error^business_service=af6392bcdb1f6410609eae3bd3961930^assignment_group=7cb98a74478ab154fecef4f8736d435e^EQ
AUT0002927,short_descriptionLIKEDynatrace: Process unavailable - IIS app pool^descriptionLIKEProcess IIS app pool^business_service=a343d67cdb1f6410609eae3bd39619ed^EQ
AUT0002925,short_descriptionSTARTSWITHSRE Test^short_descriptionLIKEConnectivity lost on sigm^assignment_group=71aae38b1b5fa4d0bdcb42a7b04bcb43^EQ
AUT0002918,short_description=Automation case on testing today^EQ
AUT0002916,short_description=Zerops Automation Testing^EQ
AUT0002906,cmdb_ciLIKEAPP09926^short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEis not reachable^assignment_group=deaa678b1b5fa4d0bdcb42a7b04bcbaa^ORassignment_group=3eaaa78b1b5fa4d0bdcb42a7b04bcbf6^EQ
